
ABL00053;10.208.0.210;NCR         
ABL00054;10.208.23.179;NCR         
ABL00055;10.34.47.10;NCR         
ABL00056;10.32.98.9;NCR         
ABL00057;10.32.98.10;DIEBOLD     
ABL00058;10.34.46.9;NCR         
ABL00059;10.33.139.9;NCR         
ABL00060;10.33.139.10;NCR         
ABL00061;10.34.122.9;NCR         
ABL00062;10.34.44.9;NCR         
ABL00063;10.32.50.5;NCR         
ABL00064;10.32.50.9;NCR         
ABL00065;10.208.6.18;NCR         
ABL00066;10.208.5.234;NCR         
ABL00067;10.208.4.66;NCR         
ABL00068;10.208.0.226;NCR         
ABL00069;10.208.16.146;NCR         
ABL00070;10.208.17.170;NCR         
ABL00071;10.208.25.2;NCR         
ABL00072;10.33.84.9;DIBOLD      
ABL00073;10.33.84.5;NCR         
ABL00074;10.33.26.10;NCR         
ABL00075;10.33.26.9;DIEBOLD     
ABL00076;10.33.26.5;NCR         
ABL00077;10.208.0.219;NCR         
ABL00078;10.208.0.218;NCR         
ABL00079;10.208.7.34;NCR         
ABL00080;10.208.23.106;NCR         
ABL00081;10.208.23.170;NCR         
ABL00082;10.208.26.82;NCR         
ABL00083;10.33.169.9;NCR         
ABL00084;10.34.21.9;NCR         
ABL00085;10.32.12.5;NCR         
ABL00086;10.208.16.82;NCR         
ABL00087;10.33.224.9;NCR         
ABL00088;10.32.13.10;NCR         
ABL00089;10.32.13.9;DIEBOLD     
ABL00090;10.32.13.5;NCR         
ABL00091;10.208.2.202;NCR         
ABL00092;10.208.3.34;NCR         
ABL00093;10.208.3.218;NCR         
ABL00094;10.208.17.2;NCR         
ABL00095;10.34.38.9;NCR         
ABL00096;10.33.90.9;NCR         
ABL00097;10.208.26.146;NCR         
ABL00098;10.34.88.9;NCR         
ABL00099;10.34.88.10;DIEBOLD     
ABL00100;10.32.3.9;NCR         
ABL00101;10.208.4.186;NCR         
ABL00102;10.208.3.3;NCR         
ABL00103;10.208.3.2;NCR         
ABL00104;10.208.4.42;NCR         
ABL00105;10.32.169.9;NCR         
